,rank,title,author
0,1.,Don Quixote,Miguel de Cervantes
0,2.,Alice's Adventures in Wonderland,Lewis Carroll
0,3.,The Adventures of Huckleberry Finn,Mark Twain
0,4.,The Adventures of Tom Sawyer,Mark Twain
0,5.,Treasure Island,Robert Louis Stevenson
0,6.,Pride and Prejudice,Jane Austen
0,7.,Wuthering Heights,Emily BrontÃ«
0,8.,Jane Eyre,Charlotte BrontÃ«
0,9.,Moby Dick,Herman Melville
0,10.,The Scarlet Letter,Nathaniel Hawthorne
0,11.,Gulliver's Travels,Jonathan Swift
0,12.,The Pilgrim's Progress,John Bunyan
0,13.,A Christmas Carol,Charles Dickens
0,14.,David Copperfield,Charles Dickens
0,15.,A Tale of Two Cities,Charles Dickens
0,16.,Little Women,Louisa May Alcott
0,17.,Great Expectations,Charles Dickens
0,18.,"The Hobbit, or, There and Back Again",J.R.R. Tolkien
0,19.,"Frankenstein, or, the Modern Prometheus",Mary Shelley
0,20.,Oliver Twist,Charles Dickens
0,21.,Uncle Tom's Cabin,Harriet Beecher Stowe
0,22.,Crime and Punishment,Fyodor Dostoyevsky
0,23.,Madame Bovary: Patterns of Provincial life,Gustave Flaubert
0,24.,The Return of the King,J.R.R. Tolkien
0,25.,Dracula,Bram Stoker
0,26.,The Three Musketeers,Alexandre Dumas
0,27.,Brave New World,Aldous Huxley
0,28.,War and Peace,Leo Tolstoy
0,29.,To Kill a Mockingbird,Harper Lee
0,30.,The Wizard of Oz,L. Frank Baum
0,31.,Les MisÃ©rables,Victor Hugo
0,32.,The Secret Garden,Frances Hodgson Burnett
0,33.,Animal Farm,George Orwell
0,34.,The Great Gatsby,F. Scott Fitzgerald
0,35.,The Little Prince,Antoine de Saint-ExupÃ©ry
0,36.,The Call of the Wild,Jack London
0,37.,"20,000 Leagues Under the Sea",Jules Verne
0,38.,Anna Karenina,Leo Tolstoy
0,39.,The Wind in the Willows,Kenneth Grahame
0,40.,The Picture of Dorian Gray,Oscar Wilde
0,41.,The Grapes of Wrath,John Steinbeck
0,42.,Sense and Sensibility,Jane Austen
0,43.,The Last of the Mohicans,James Fenimore Cooper
0,44.,Tess of the d'Urbervilles,Thomas Hardy
0,45.,Harry Potter and the Sorcerer's Stone,J.K. Rowling
0,46.,Heidi,Johanna Spyri
0,47.,Ulysses,James Joyce
0,48.,The Complete Sherlock Holmes,Arthur Conan Doyle
0,49.,The Count of Monte Cristo,Alexandre Dumas
0,50.,The Old Man and the Sea,Ernest Hemingway
0,51.,"The Lion, the Witch, and the Wardrobe",C.S. Lewis
0,52.,The Hunchback of Notre Dame,Victor Hugo
0,53.,Pinocchio,Carlo Collodi
0,54.,One Hundred Years of Solitude,Gabriel GarcÃ­a MÃ¡rquez
0,55.,Ivanhoe,Walter Scott
0,56.,The Red Badge of Courage,Stephen Crane
0,57.,Anne of Green Gables,L.M. Montgomery
0,58.,Black Beauty,Anna Sewell
0,59.,Peter Pan,J.M. Barrie
0,60.,A Farewell to Arms,Ernest Hemingway
0,61.,The House of the Seven Gables,Nathaniel Hawthorne
0,62.,Lord of the Flies,William Golding
0,63.,The Prince and the Pauper,Mark Twain
0,64.,A Portrait of the Artist as a Young Man,James Joyce
0,65.,Lord Jim,Joseph Conrad
0,66.,Harry Potter and the Chamber of Secrets,J.K. Rowling
0,67.,The Red & the Black,Stendhal
0,68.,The Stranger,Albert Camus
0,69.,The Trial,Franz Kafka
0,70.,Lady Chatterley's Lover,D.H. Lawrence
0,71.,Kidnapped: The Adventures of David Balfour,Robert Louis Stevenson
0,72.,The Catcher in the Rye,J.D. Salinger
